voltages, filtered
0.030138, 0.008295
0.055925, 0.005384
0.080907, -0.048429
0.055925, -0.052090
-0.021437, -0.030905
-0.019020, -0.010042
0.030138, 0.013848
-0.021437, 0.037492
0.030138, 0.034806
0.055925, 0.034810
0.030138, 0.033617
-0.021437, 0.006884
-0.021437, 0.006929
-0.072207, 0.034122
-0.021437, 0.035720
-0.021437, -0.011465
-0.072207, -0.009792
-0.112500, -0.059312
-0.099606, -0.057421
-0.073012, -0.052170
-0.021437, -0.046597
-0.073012, 0.008497
-0.112500, 0.010845
-0.099606, -0.010532
-0.073012, 0.019393
-0.021437, 0.023498
-0.021437, 0.026860
-0.099606, 0.003293
-0.124588, 0.029470
-0.124588, 0.031129
-0.124588, 0.006595
-0.073012, 0.007311
-0.021437, 0.034452
0.030138, 0.035025
-0.021437, 0.009606
-0.073012, -0.069277
-0.099606, -0.069151
-0.122170, -0.017251
-0.112500, -0.016817
-0.092353, -0.015292
-0.021437, -0.014560
-0.021437, -0.013770
-0.021437, 0.011684
0.055925, 0.013328
0.055925, 0.015755
0.030138, 0.015645
-0.021437, 0.041861
-0.021437, 0.018953
-0.021437, 0.022363
-0.021437, 0.051782
-0.021437, 0.030503
0.030138, -0.042363
0.030138, -0.036131
0.030138, -0.032014
0.030138, 0.025518
0.080907, -0.018795
0.055925, -0.062246
0.055925, -0.082925
0.055925, -0.049135
0.030138, 0.010941
0.030138, 0.070582
0.030138, 0.027854
0.030138, 0.036345
-0.020631, -0.006461
0.030138, 0.002435
-0.021437, 0.060557
-0.021437, 0.013027
-0.124588, 0.017835
-0.202756, 0.019384
-0.195503, 0.022725
-0.176968, 0.005189
-0.124588, -0.014347
-0.021437, -0.026673
0.030138, -0.029366
-0.020631, -0.023753
-0.021437, -0.096398
-0.021437, -0.028208
-0.073012, -0.011907
-0.021437, 0.029274
-0.021437, -0.031910
0.055925, 0.008312
-0.222097, 0.048068
-0.176968, 0.058613
-0.112500, 0.052238
-0.073012, 0.017320
-0.020631, 0.008532
-0.021437, -0.049569
-0.021437, -0.004155
-0.073012, -0.009023
-0.073012, -0.012210
-0.072207, 0.012212
-0.073012, 0.037135
-0.073012, 0.014538
-0.112500, -0.058943
-0.112500, -0.051472
-0.073012, 0.005393
-0.021437, -0.037630
-0.099606, 0.022051
-0.118947, 0.055098
-0.099606, 0.038543
-0.072207, -0.003841
-0.021437, 0.005883
-0.072207, -0.035642
-0.021437, 0.021280
-0.099606, 0.029133
-0.124588, -0.017917
-0.124588, -0.052582
-0.124588, -0.034797
-0.124588, -0.004495
-0.124588, 0.051096
-0.124588, 0.002797
-0.073012, -0.034922
-0.021437, -0.019385
0.030138, 0.008625
0.030138, 0.060941
0.055925, 0.059787
0.080907, -0.018344
0.055925, -0.044002
0.080907, -0.045871
0.030138, -0.047340
-0.021437, 0.001822
-0.021437, 0.051812
-0.021437, 0.102038
0.030138, 0.047074
0.030138, -0.007840
0.030138, -0.037956
0.030138, -0.064494
0.030138, -0.059896
0.080907, -0.045031
0.055925, 0.019923
0.030138, 0.012510
0.080907, 0.005620
0.030138, 0.075986
0.030138, 0.066791
0.055925, 0.034458
0.030138, -0.024839
-0.021437, -0.033307
-0.021437, -0.040028
0.030138, -0.044793
0.080907, -0.050350
0.030138, -0.003510
-0.021437, -0.008555
-0.021437, -0.009331
-0.072207, -0.009442
-0.021437, 0.041440
0.030138, 0.019784
0.030138, 0.023977
-0.021437, 0.029207
0.030138, 0.011444
-0.019020, 0.019805
-0.072207, 0.027165
-0.021437, 0.036138
-0.021437, -0.004582
-0.021437, 0.056818
-0.021437, 0.014643
0.030138, 0.023807
0.080907, -0.069868
0.080907, -0.140214
0.030138, -0.127475
-0.021437, -0.105168
-0.021437, -0.049332
-0.021437, 0.056630
0.030138, 0.110834
0.055925, 0.059661
-0.020631, 0.057925
0.055925, 0.055634
0.080907, 0.004797
0.055925, 0.051833
-0.021437, 0.047534
0.030138, 0.121797
0.080907, -0.157014
0.082519, -0.114125
0.081713, -0.052988
0.106695, -0.015092
0.132482, 0.035131
0.106695, 0.034010
0.093801, 0.033949
0.106695, -0.016436
0.106695, -0.013842
0.132482, -0.009342
0.132482, -0.005744
0.080907, -0.003435
0.030138, -0.040557
0.030138, -0.034941
0.030138, 0.008945
0.030138, 0.065438
0.030138, -0.007494
0.030138, -0.022787
0.030138, -0.001616
0.030138, 0.027751
