value, threshold
0.043791, 173.727273
0.286942, 173.727273
0.495383, 173.727273
0.659694, 173.727273
0.774957, 173.727273
0.837155, 173.727273
0.847842, 173.727273
0.808997, 173.727273
0.726812, 173.727273
0.608134, 173.727273
0.461762, 173.727273
0.297752, 173.727273
0.125659, 173.727273
-0.044415, 173.727273
-0.203224, 173.727273
-0.342171, 173.727273
-0.454809, 173.727273
-0.534986, 173.727273
-0.578498, 173.727273
-0.582274, 173.727273
-0.543905, 173.727273
-0.465038, 173.727273
-0.336386, 173.727273
-0.184183, 173.727273
0.066280, 173.727273
0.201153, 173.727273
0.838820, 173.727273
0.202258, 173.727273
-0.093373, 173.727273
-0.155069, 173.727273
-0.141142, 173.727273
-0.473523, 173.727273
0.035587, 173.727273
0.771886, 173.727273
-0.181069, 173.727273
0.223531, 173.727273
0.402074, 173.727273
0.882468, 173.727273
-0.172673, 173.727273
0.397456, 173.727273
0.002345, 173.727273
-0.761244, 173.727273
-0.269008, 173.727273
-0.052976, 173.727273
-0.071605, 173.727273
-0.085719, 173.727273
-0.095059, 173.727273
-0.098970, 173.727273
-0.097989, 173.727273
-0.092319, 173.727273
-0.082480, 173.727273
-0.068978, 173.727273
-0.052692, 173.727273
-0.034063, 173.727273
-0.013560, 173.727273
0.008151, 173.727273
0.031997, 173.727273
0.054697, 173.727273
0.086315, 173.727273
0.099336, 173.727273
0.175186, 173.727273
0.082349, 173.727273
0.491520, 173.727273
-0.524312, 173.727273
-0.245258, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
-0.006813, 173.727273
