Values, Voltage, Values_filtered, Voltages_filtered
1856.000000, 1.495678, 3.070357, 0.002474
1901.000000, 1.531941, 3.551752, 0.002862
1901.000000, 1.531941, 4.313838, 0.003476
1901.000000, 1.531941, 3.808115, 0.003069
1896.000000, 1.527912, 3.575267, 0.002881
1898.000000, 1.529524, 3.067155, 0.002472
1856.000000, 1.495678, 2.386757, 0.001923
1735.000000, 1.398168, 0.517469, 0.000417
1856.000000, 1.495678, -0.517191, -0.000417
1856.000000, 1.495678, 1.670050, 0.001346
1792.000000, 1.444103, -0.574920, -0.000463
1856.000000, 1.495678, -1.558231, -0.001256
1856.000000, 1.495678, -1.082932, -0.000873
1856.000000, 1.495678, -2.619176, -0.002111
1856.000000, 1.495678, -3.434548, -0.002768
1896.000000, 1.527912, -4.217025, -0.003398
1856.000000, 1.495678, -4.817175, -0.003882
1896.000000, 1.527912, -6.366175, -0.005130
1896.000000, 1.527912, -6.188083, -0.004987
1898.000000, 1.529524, -7.335252, -0.005911
1898.000000, 1.529524, -7.808063, -0.006292
1901.000000, 1.531941, -8.320859, -0.006705
1898.000000, 1.529524, 31.344527, 0.025259
1896.000000, 1.527912, 31.195214, 0.025139
1856.000000, 1.495678, 30.561628, 0.024628
1773.000000, 1.428791, -9.243093, -0.007449
1856.000000, 1.495678, -9.336655, -0.007524
1856.000000, 1.495678, -7.122225, -0.005740
1856.000000, 1.495678, -7.294583, -0.005878
1856.000000, 1.495678, -6.539815, -0.005270
1856.000000, 1.495678, -5.928982, -0.004778
1896.000000, 1.527912, -5.462752, -0.004402
1898.000000, 1.529524, -3.422392, -0.002758
1856.000000, 1.495678, -3.892586, -0.003137
1856.000000, 1.495678, -4.251726, -0.003426
1856.000000, 1.495678, -3.853842, -0.003106
1856.000000, 1.495678, -3.077195, -0.002480
1856.000000, 1.495678, -2.154232, -0.001736
1896.000000, 1.527912, -2.480735, -0.001999
1898.000000, 1.529524, -2.432001, -0.001960
1898.000000, 1.529524, -3.294943, -0.002655
1898.000000, 1.529524, -4.005715, -0.003228
1898.000000, 1.529524, -4.964384, -0.004001
1901.000000, 1.531941, -6.008027, -0.004842
1856.000000, 1.495678, 32.599011, 0.026270
1856.000000, 1.495678, 35.719173, 0.028785
1856.000000, 1.495678, 34.985599, 0.028194
1901.000000, 1.531941, 33.794139, 0.027233
1901.000000, 1.531941, 33.741732, 0.027191
1901.000000, 1.531941, 25.525451, 0.020570
1856.000000, 1.495678, -15.803652, -0.012736
1792.000000, 1.444103, -144.830297, -0.116713
1792.000000, 1.444103, -17.582209, -0.014169
1856.000000, 1.495678, -80.719775, -0.065049
1856.000000, 1.495678, -15.844597, -0.012769
1896.000000, 1.527912, 24.617079, 0.019838
1856.000000, 1.495678, 23.594508, 0.019014
1898.000000, 1.529524, -17.008418, -0.013706
1901.000000, 1.531941, 30.009911, 0.024184
1901.000000, 1.531941, 30.113062, 0.024267
1901.000000, 1.531941, 33.179605, 0.026738
1896.000000, 1.527912, 32.200415, 0.025949
1856.000000, 1.495678, 33.356305, 0.026881
1856.000000, 1.495678, -11.050636, -0.008905
1856.000000, 1.495678, -7.998184, -0.006445
1856.000000, 1.495678, -9.564015, -0.007707
1856.000000, 1.495678, -7.491635, -0.006037
1735.000000, 1.398168, -5.473212, -0.004411
1896.000000, 1.527912, -4.104421, -0.003308
1896.000000, 1.527912, -0.176410, -0.000142
1901.000000, 1.531941, -1.304496, -0.001051
1898.000000, 1.529524, -0.395759, -0.000319
1896.000000, 1.527912, -0.999725, -0.000806
1856.000000, 1.495678, -0.159650, -0.000129
1856.000000, 1.495678, -4.333510, -0.003492
1856.000000, 1.495678, -123.941182, -0.099879
1856.000000, 1.495678, 39.564660, 0.031884
1856.000000, 1.495678, 39.039764, 0.031461
1896.000000, 1.527912, 38.938258, 0.031379
1896.000000, 1.527912, 38.391464, 0.030938
1896.000000, 1.527912, -3.336832, -0.002689
1856.000000, 1.495678, -71.972073, -0.057999
1856.000000, 1.495678, -9.212605, -0.007424
1728.000000, 1.392527, -8.393758, -0.006764
1856.000000, 1.495678, -13.116326, -0.010570
1856.000000, 1.495678, 31.016373, 0.024995
1856.000000, 1.495678, 30.919533, 0.024917
1856.000000, 1.495678, -9.423467, -0.007594
1856.000000, 1.495678, -9.861866, -0.007947
1856.000000, 1.495678, -9.729047, -0.007840
1856.000000, 1.495678, 35.461975, 0.028577
1856.000000, 1.495678, 35.772803, 0.028828
1856.000000, 1.495678, 36.146009, 0.029129
1856.000000, 1.495678, 31.557483, 0.025431
1898.000000, 1.529524, 34.209358, 0.027568
1898.000000, 1.529524, -6.880010, -0.005544
1898.000000, 1.529524, -128.038867, -0.103182
1856.000000, 1.495678, -7.100814, -0.005722
1735.000000, 1.398168, -8.314012, -0.006700
1896.000000, 1.527912, -72.425239, -0.058365
1856.000000, 1.495678, -5.280609, -0.004255
1856.000000, 1.495678, -7.460417, -0.006012
1856.000000, 1.495678, -6.992541, -0.005635
1856.000000, 1.495678, -7.583332, -0.006111
1856.000000, 1.495678, 32.071910, 0.025845
1856.000000, 1.495678, -8.464296, -0.006821
1856.000000, 1.495678, 30.997154, 0.024979
1856.000000, 1.495678, 30.355715, 0.024462
1856.000000, 1.495678, 31.814696, 0.025638
