value, threshold
1.607162, 173.727273
1.453110, 173.727273
1.204032, 173.727273
0.970372, 173.727273
0.708034, 173.727273
0.432803, 173.727273
0.143163, 173.727273
-0.151109, 173.727273
-0.439999, 173.727273
-0.709961, 173.727273
-0.947088, 173.727273
-1.136556, 173.727273
-1.264889, 173.727273
-1.318895, 173.727273
-1.291115, 173.727273
-1.174768, 173.727273
-1.970256, 173.727273
-3.681482, 173.727273
-0.320733, 173.727273
0.099608, 173.727273
0.557841, 173.727273
1.031551, 173.727273
1.492110, 173.727273
1.912262, 173.727273
2.263201, 173.727273
2.519024, 173.727273
2.655977, 173.727273
2.655115, 173.727273
2.505579, 173.727273
2.200600, 173.727273
1.747913, 173.727273
1.155721, 173.727273
0.449579, 173.727273
-0.343942, 173.727273
-1.185223, 173.727273
-2.031873, 173.727273
-2.837892, 173.727273
-3.548901, 173.727273
-4.127502, 173.727273
-4.496500, 173.727273
-4.700148, 173.727273
-4.661350, 173.727273
-4.353864, 173.727273
-3.617665, 173.727273
-2.614811, 173.727273
-1.354203, 173.727273
0.167355, 173.727273
1.915446, 173.727273
3.839563, 173.727273
5.880626, 173.727273
7.976261, 173.727273
10.057862, 173.727273
12.058117, 173.727273
13.907222, 173.727273
15.539973, 173.727273
16.905656, 173.727273
17.958078, 173.727273
18.647800, 173.727273
13.974282, 173.727273
-146.967422, 173.727273
-26.361827, 173.727273
-27.037833, 173.727273
12.000274, 173.727273
15.819831, 173.727273
14.485108, 173.727273
13.066035, 173.727273
11.635168, 173.727273
10.229201, 173.727273
8.995798, 173.727273
7.979851, 173.727273
7.308392, 173.727273
6.815450, 173.727273
6.670284, 173.727273
6.847138, 173.727273
2.359045, 173.727273
-36.822057, 173.727273
-35.734894, 173.727273
10.553080, 173.727273
11.992970, 173.727273
14.595136, 173.727273
17.133745, 173.727273
18.700057, 173.727273
18.023999, 173.727273
19.174454, 173.727273
17.038650, 173.727273
-24.411148, 173.727273
-145.217773, 173.727273
-24.422748, 173.727273
19.731937, 173.727273
18.534472, 173.727273
18.270658, 173.727273
16.361332, 173.727273
14.556280, 173.727273
12.438596, 173.727273
10.241501, 173.727273
7.982031, 173.727273
5.749327, 173.727273
3.588844, 173.727273
1.321407, 173.727273
-0.943205, 173.727273
-1.737999, 173.727273
-2.352896, 173.727273
-3.506516, 173.727273
-4.145317, 173.727273
-4.527576, 173.727273
-4.689283, 173.727273
-4.466415, 173.727273
-4.031397, 173.727273
-3.456112, 173.727273
-2.781540, 173.727273
-1.903102, 173.727273
-1.268791, 173.727273
-0.649677, 173.727273
1.175039, 173.727273
1.425864, 173.727273
2.047869, 173.727273
2.385704, 173.727273
2.626716, 173.727273
2.697396, 173.727273
2.627573, 173.727273
2.421571, 173.727273
2.101851, 173.727273
1.691750, 173.727273
1.218718, 173.727273
0.710946, 173.727273
0.196878, 173.727273
-0.295190, 173.727273
-0.741644, 173.727273
-1.121485, 173.727273
-1.437585, 173.727273
-1.664633, 173.727273
-1.701664, 173.727273
-1.743319, 173.727273
-1.656699, 173.727273
-1.498158, 173.727273
-1.262754, 173.727273
-0.971158, 173.727273
-0.664034, 173.727273
-0.589171, 173.727273
-0.645649, 173.727273
0.470821, 173.727273
1.489751, 173.727273
1.539503, 173.727273
1.831054, 173.727273
2.201029, 173.727273
2.018453, 173.727273
0.486717, 173.727273
-0.188365, 173.727273
0.208434, 173.727273
0.309452, 173.727273
0.621563, 173.727273
0.774038, 173.727273
0.660072, 173.727273
0.519860, 173.727273
0.390897, 173.727273
-0.719194, 173.727273
-4.802137, 173.727273
-4.852565, 173.727273
0.124370, 173.727273
0.136232, 173.727273
0.312958, 173.727273
0.380381, 173.727273
0.718932, 173.727273
0.257877, 173.727273
-0.297478, 173.727273
0.510499, 173.727273
-1.940800, 173.727273
0.416323, 173.727273
-1.169823, 173.727273
2.306363, 173.727273
2.754871, 173.727273
3.333199, 173.727273
3.787390, 173.727273
4.637469, 173.727273
1.799093, 173.727273
2.508356, 173.727273
1.202910, 173.727273
-40.081063, 173.727273
0.381323, 173.727273
5.841122, 173.727273
6.293710, 173.727273
6.731104, 173.727273
7.146634, 173.727273
7.535091, 173.727273
7.888347, 173.727273
8.198906, 173.727273
5.460611, 173.727273
-36.333677, 173.727273
-36.190860, 173.727273
3.880846, 173.727273
8.877005, 173.727273
8.793243, 173.727273
9.624704, 173.727273
8.371600, 173.727273
8.032821, 173.727273
7.608890, 173.727273
7.107520, 173.727273
1.535030, 173.727273
0.899729, 173.727273
0.214642, 173.727273
-40.507314, 173.727273
3.751037, 173.727273
4.007468, 173.727273
2.281275, 173.727273
1.590523, 173.727273
0.954993, 173.727273
0.394644, 173.727273
-0.075639, 173.727273
-0.439443, 173.727273
-0.685101, 173.727273
-0.803586, 173.727273
-0.790349, 173.727273
-0.645577, 173.727273
-0.372344, 173.727273
0.021952, 173.727273
0.524297, 173.727273
1.119233, 173.727273
1.786115, 173.727273
-0.497473, 173.727273
3.245907, 173.727273
3.989933, 173.727273
4.709598, 173.727273
5.378257, 173.727273
5.973600, 173.727273
6.475726, 173.727273
6.865754, 173.727273
2.130614, 173.727273
-37.736967, 173.727273
-37.743222, 173.727273
6.114311, 173.727273
6.839180, 173.727273
6.447608, 173.727273
5.935789, 173.727273
5.371512, 173.727273
