filtered_data, frequency, frequency_magnitude, threshold
-1053.145166, 28808.593750, 28815.982630, 173.727273
-868.292051, 29296.875000, 5828.571660, 173.727273
-411.594288, 29785.156250, 5400.168841, 173.727273
154.998233, 30273.437500, 64326.413251, 173.727273
469.345232, 30761.718750, 83648.004541, 173.727273
530.703624, 31250.000000, 139449.442755, 173.727273
376.815383, 31738.281250, 57726.544517, 173.727273
235.764710, 32226.562500, 70763.232526, 173.727273
62.022517, 32714.843750, 29446.009338, 173.727273
-43.692195, 33203.125000, 23802.954652, 173.727273
60.661639, 33691.406250, 151235.642347, 173.727273
290.949559, 34179.687500, 128456.189558, 173.727273
418.095279, 34667.968750, 98961.738466, 173.727273
292.701209, 35156.250000, 13254.522498, 173.727273
120.874852, 35644.531250, 163049.740296, 173.727273
-102.120186, 36132.812500, 59.038375, 173.727273
-577.671226, 36621.093750, 90671.888534, 173.727273
-914.720808, 37109.375000, 22299.505420, 173.727273
-1106.695994, 37597.656250, 79291.699589, 173.727273
-898.259435, 38085.937500, 5562.750439, 173.727273
-405.138340, 38574.218750, 12169.975158, 173.727273
213.170158, 39062.500000, 53535.136368, 173.727273
914.850282, 39550.781250, 55527.777212, 173.727273
1298.204385, 40039.062500, 63508.422422, 173.727273
1188.455307, 40527.343750, 234223.591712, 173.727273
892.191284, 41015.625000, 205231.721451, 173.727273
417.084900, 41503.906250, 40547.655341, 173.727273
18.538166, 41992.187500, 115692.678635, 173.727273
-469.778089, 42480.468750, 12828.107088, 173.727273
-760.623381, 42968.750000, 13380.900876, 173.727273
-834.352678, 43457.031250, 5778.308369, 173.727273
-724.409061, 43945.312500, 1361.939269, 173.727273
-553.117773, 44433.593750, 21940.043109, 173.727273
-437.710926, 44921.875000, 67895.705817, 173.727273
-271.647825, 45410.156250, 31054.719962, 173.727273
-98.766448, 45898.437500, 48168.673567, 173.727273
36.097720, 46386.718750, 105599.063100, 173.727273
273.867585, 46875.000000, 196996.694336, 173.727273
745.842085, 47363.281250, 58223.563483, 173.727273
1084.278234, 47851.562500, 99455.723829, 173.727273
1184.305362, 48339.843750, 70076.918808, 173.727273
1143.475588, 48828.125000, 27609.547623, 173.727273
612.115093, 49316.406250, 9357.306951, 173.727273
-254.418580, 49804.687500, 13129.154871, 173.727273
-1082.796419, 50292.968750, 54211.006921, 173.727273
-1441.889013, 50781.250000, 24076.242613, 173.727273
-1470.163523, 51269.531250, 258683.909600, 173.727273
-1490.500744, 51757.812500, 71238.137201, 173.727273
-937.605342, 52246.093750, 174490.642784, 173.727273
-90.552029, 52734.375000, 86859.441652, 173.727273
