raw_audio, filtered_data, frequency, frequency_magnitude, frequency_magnitude, threshold
-1731.292480, -1518.629691, 35156.250000, 23591.834489, 14215.101719, 992.727273
-1731.292480, -1824.645208, 35400.390625, 28407.133019, 46799.962010, 992.727273
-1731.292480, 1813.608568, 35644.531250, 35492.929901, 27926.748589, 992.727273
-1731.292480, 1505.336152, 35888.671875, 4477.060891, 15432.927824, 992.727273
-1731.292480, 1266.750305, 36132.812500, 56531.042736, 42596.495925, 992.727273
-1731.292480, 914.841129, 36376.953125, 99561.445428, 101954.901563, 992.727273
-1731.292480, 710.416983, 36621.093750, 193977.947499, 220299.074653, 992.727273
-1731.292480, 403.561250, 36865.234375, 132196.781374, 148751.012515, 992.727273
-1731.292480, 188.598457, 37109.375000, 83652.627003, 66326.271456, 992.727273
-1731.292480, 4.962642, 37353.515625, 49714.829293, 69248.318350, 992.727273
-1731.292480, -142.986340, 37597.656250, 63977.730651, 59632.220106, 992.727273
-1731.292480, -254.150545, 37841.796875, 38839.592033, 20468.643506, 992.727273
-1731.292480, -330.568518, 38085.937500, 35237.700565, 22088.425848, 992.727273
-1731.292480, -372.529905, 38330.078125, 34372.369954, 19337.752881, 992.727273
-1731.292480, -383.382631, 38574.218750, 8773.671343, 23062.396919, 992.727273
-1731.292480, -364.594272, 38818.359375, 26528.448479, 17465.785919, 992.727273
-1731.292480, -320.599408, 39062.500000, 12482.733709, 3593.881457, 992.727273
-1731.292480, -195.449032, 39306.640625, 27537.974599, 15212.749359, 992.727273
-1731.292480, -183.777756, 39550.781250, 20675.467567, 9843.104443, 992.727273
-1731.292480, -100.435602, 39794.921875, 4569.745025, 13598.141850, 992.727273
-1731.292480, -14.319292, 40039.062500, 9099.743531, 3767.995488, 992.727273
-1731.292480, 66.960970, 40283.203125, 9055.232735, 10449.944165, 992.727273
2218.707520, 161.643603, 40527.343750, 19243.448146, 11961.277844, 992.727273
2218.707520, 268.169683, 40771.484375, 13771.696642, 10151.302005, 992.727273
2217.707520, 264.216096, 41015.625000, 10569.671233, 14209.709743, 992.727273
2218.707520, 278.421054, 41259.765625, 32867.576323, 38088.183492, 992.727273
2218.707520, 263.390095, 41503.906250, 21076.288028, 25850.501449, 992.727273
2218.707520, 233.863048, 41748.046875, 19308.935450, 16765.166128, 992.727273
2217.707520, 187.612060, 41992.187500, 8169.110522, 10832.764258, 992.727273
2217.707520, 128.012272, 42236.328125, 12236.885167, 9196.263720, 992.727273
2217.707520, 58.443087, 42480.468750, 3017.115259, 7069.117655, 992.727273
2218.707520, -22.518390, 42724.609375, 17124.286444, 12465.132705, 992.727273
2218.707520, -90.079944, 42968.750000, 6110.196929, 7820.136239, 992.727273
2217.707520, -195.384802, 43212.890625, 9821.456826, 8488.781641, 992.727273
2218.707520, -279.127518, 43457.031250, 10572.887501, 13289.423019, 992.727273
2218.707520, -339.145941, 43701.171875, 18720.676054, 18739.604185, 992.727273
2218.707520, -379.747070, 43945.312500, 17694.504319, 7716.868208, 992.727273
2217.707520, -393.957206, 44189.453125, 7481.580826, 3766.353134, 992.727273
2217.707520, -377.535793, 44433.593750, 15431.374379, 6611.523529, 992.727273
2218.707520, -329.214473, 44677.734375, 17051.057299, 28385.118988, 992.727273
