index, value, filtered
524, 14, -1
525, 14, 0
526, 14, 0
527, 14, 1
528, 14, 2
529, 14, 3
530, 14, 4
531, 26, 5
532, 27, 0
533, 14, 0
534, 14, 0
535, 27, 0
536, 26, 0
537, 14, -1
538, 27, -2
539, 26, -5
540, 28, -7
541, 28, -1
542, 28, -9
543, 28, 17
544, 28, 17
545, 28, -5
546, 28, -13
547, 28, 15
548, 28, 16
549, 28, -12
550, 28, -11
551, 28, -10
552, 28, -10
553, 28, -8
554, 28, 24
555, 35, -4
556, 35, -1
557, 28, 0
558, 35, 0
559, 35, 1
560, 35, 2
561, 35, 3
562, 28, 3
563, 35, 3
564, 35, 3
565, 35, 2
566, 35, 1
567, 35, 0
568, 35, -2
569, 35, -4
570, 35, -21
571, 38, -8
572, 40, 2
573, 40, 0
574, 41, -3
575, 41, 7
576, 41, 5
577, 41, 2
578, 41, -1
579, 41, 8
580, 41, 5
581, 41, 2
582, 41, 1
583, 41, -1
584, 41, 0
585, 41, -1
586, 41, -2
587, -67, -3
588, -118, -3
589, -118, -2
590, -118, 0
591, -118, 0
592, -118, 2
593, -118, -8
594, -118, -6
595, -67, -4
596, -67, 9
597, -67, 10
598, -67, -1
599, -49, 0
600, -49, 0
601, -49, 0
602, -36, 0
603, -36, 1
604, -35, 0
605, -35, 0
606, -35, 0
607, -35, 0
608, -35, 0
609, -28, -1
610, -28, -1
611, -28, -1
612, -28, -1
613, -28, -1
614, -25, -1
615, -19, -1
616, -17, -1
617, -17, -1
618, -17, -1
619, -17, -1
620, -12, 9
621, -12, 10
622, -12, -3
623, -12, -3
624, -17, 8
625, -12, 5
626, -17, -7
627, -17, 4
628, -17, 1
629, -17, 2
630, -17, 0
631, -19, 0
632, -19, -1
633, -19, -3
634, -12, -4
635, -12, -4
636, -12, -4
637, -12, -5
638, 10, -5
639, -21, -4
640, 10, -3
641, -21, -2
642, 10, -1
643, 10, 0
644, -20, 7
645, -21, 8
646, -21, 2
647, -21, 10
648, -21, 10
649, -21, 10
650, -21, 9
651, -21, 1
652, -21, 6
653, -21, 3
654, -21, 1
655, -21, -1
656, -21, -5
657, -21, -8
658, -21, -11
659, -21, -14
660, -35, -13
661, -28, -13
662, -17, -14
663, -3, -12
664, -3, -11
665, -3, -8
666, 14, -5
667, 14, 0
668, 14, 5
669, 26, 13
670, 27, 21
671, 27, 30
672, 28, 40
673, 28, 50
674, 27, 60
675, 26, 71
676, 28, -26
677, 28, -67
678, 28, -58
679, 26, -50
680, 27, -44
681, 27, -38
682, 27, -34
683, 28, -32
684, 14, 19
685, 26, 19
686, 26, 17
687, 26, 14
688, 27, 28
689, 14, 23
690, 14, 17
691, 14, 24
692, 14, 18
693, 14, 12
694, 14, 6
695, 14, 0
696, 14, -5
697, 14, -10
698, 14, -7
699, 14, -10
700, 14, -13
701, 14, -14
702, 14, -15
703, 14, -12
704, 14, -6
705, 14, -3
706, 14, -2
707, 14, -1
708, 26, 0
709, 14, 7
710, 14, 8
711, 14, 9
712, 14, 10
713, 14, 5
714, 14, 10
715, 14, 4
716, 14, 3
717, 26, 2
718, 26, 1
719, 28, 0
720, 28, -4
721, 28, -6
722, 28, -8
723, 28, -3
724, 28, -4
725, 28, -6
726, 28, -7
727, 28, 14
728, 28, -16
729, 28, 14
730, 28, -15
731, 28, 16
732, 28, 18
733, 28, -9
734, 28, -8
735, 28, -5
736, 28, -3
737, 28, -1
738, 28, 0
739, 28, 2
740, 28, 3
741, 35, 4
742, 35, 5
743, 28, 5
744, 35, 5
745, 35, 4
746, 35, 2
747, 35, 0
748, 35, -1
749, 35, -18
750, 35, -15
751, 40, -7
752, 41, 2
753, 38, -1
754, 41, -5
755, 41, 7
756, 41, 3
757, 41, 0
758, 41, 9
759, 41, 7
760, 41, 4
761, 41, 3
762, 41, 2
763, 41, 0
764, 41, -1
765, 41, -2
766, 41, -2
767, 41, -2
768, -12, -4
769, -118, -4
770, -118, -4
771, -118, -2
772, -118, 1
773, -118, -10
774, -118, 3
775, -118, 4
776, -67, 7
777, -67, 10
778, -67, -2
779, -67, -1
780, -51, 0
781, -49, 0
782, -49, 0
783, -49, 0
784, -36, 0
785, -36, 0
786, -35, 0
787, -35, 0
788, -35, 0
789, -35, -1
790, -28, -1
791, -28, -1
792, -28, -1
793, -28, -1
794, -25, -1
795, -23, -1
796, -19, -1
797, -17, 11
798, -17, 0
799, -17, 0
800, -12, 0
801, -17, 0
802, -17, -1
803, -12, -1
804, -12, -2
805, -12, -3
806, -12, 6
807, -12, 5
808, -17, 5
809, -12, 4
810, -12, 2
811, -12, 0
812, -12, 0
813, -12, -2
814, -12, -3
815, -12, -3
816, -12, -5
817, -12, -4
818, -12, -5
819, -12, -4
820, -12, -3
821, -12, -2
822, -12, -1
823, -12, 0
824, -12, 1
825, -12, 2
826, -12, 3
827, -12, 4
828, -13, 5
829, -12, 5
830, -17, 12
831, -17, 11
832, -17, 2
833, -17, 7
834, -17, 5
835, -17, 2
836, -17, 0
837, -17, -4
838, -19, -7
839, -19, -11
840, -12, -9
841, -12, -10
842, 10, -15
843, 10, -13
844, 10, -13
845, 10, -12
846, 10, -10
847, 10, -7
848, 10, -2
849, 10, 2
850, -19, 9
851, -19, 17
852, -21, 26
853, -21, 36
854, -21, 46
855, -21, 57
856, -21, 67
857, -21, 25
858, -21, -70
859, -21, -61
860, -21, -53
861, -21, -46
862, -21, -41
863, -21, -36
864, -21, -33
865, -21, 18
866, -21, 18
867, -21, 16
868, -21, 14
869, -35, 26
870, -17, 23
871, -12, 18
872, -3, 12
873, -3, 19
874, 12, 12
875, 14, 7
876, 14, 1
877, 14, -3
878, 14, -8
879, 26, -5
880, 27, -8
881, 28, -11
882, 27, -13
883, 27, -11
884, 28, -10
885, 28, -5
886, 28, -3
